Identifier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Risk.Score,Event.Count,Flag
2021FX3 LLC-CCX-2000,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-C-180J,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Cessna-C-182J,0.0,0.0,0.0,8.0,0.0,2,5 or less events
Cessna-C-182P,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Cessna-C-402,0.0,0.0,0.0,6.0,0.0,2,5 or less events
Cessna-C152,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Cessna-C172M,0.0,0.0,0.0,5.0,0.0,4,5 or less events
Cessna-C177B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-C182,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Cessna-CE-152,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-L-19,0.0,0.0,0.0,9.0,0.0,5,5 or less events
Cessna-P337,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Cessna-T-188,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-T-206,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Cessna-T206H,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-T210C,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-TU-206A,0.0,0.0,0.0,7.0,0.0,2,5 or less events
Cessna-U206D,0.0,0.0,0.0,3.0,0.0,2,5 or less events
DAY WILLIAM L-MINICOUPE,0.0,0.0,0.0,2.0,0.0,2,5 or less events
DASSAULT-FALCON900EX,0.0,0.0,0.0,10.0,0.0,2,5 or less events
DANIELS ALAN L-KITFOX SERIES 7,0.0,0.0,0.0,2.0,0.0,2,5 or less events
CubCrafters Inc-CC11-160,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Cub Crafters-CARBON CUB EX,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Costruzioni Aeronautiche-P2002 Sierra,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-C-180,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Costruzioni Aeronautiche Tecna-P2004 Bravo,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Continental Copters-MK6B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Consolidated Aeronautics Inc.-LA-4-200,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cobb Intl-EXEC 90,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Classic Aircraft Corp.-WACO YMF,0.0,0.0,0.0,7.0,0.0,2,5 or less events
Cirrus Design Corporation-SR20,0.0,0.0,0.0,5.0,0.0,2,5 or less events
Champion-AERONCA 7FC,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Convair-240,0.0,0.0,0.0,9.0,0.0,3,5 or less events
Cessna-C-172P,0.0,0.0,0.0,9.0,0.0,4,5 or less events
Cessna-C-170B,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-C-150L,0.0,0.0,0.0,4.0,0.0,3,5 or less events
Cessna-182-D,0.0,0.0,0.0,3.0,0.0,2,5 or less events
Cessna-180D,0.0,0.0,0.0,17.0,0.0,8,10 or less events
Cessna-180-J,0.0,0.0,0.0,4.0,0.0,2,5 or less events
Cessna-180-A,0.0,0.0,0.0,7.0,0.0,4,5 or less events
Cessna-172SP,0.0,0.0,0.0,6.0,0.0,3,5 or less events
Cessna-172RGII,0.0,0.0,0.0,2.0,0.0,2,5 or less events
Cessna-182R II,0.0,0.0,0.0,4.0,0.0,2,5 or less events
